Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/5/2015,TOR,W 95-87,19,5,7,3,5,1,2,4,2,0,0,6,4,14,,W,95,87
10/8/2015,POR,L 101-118,26,6,14,6,11,12,15,2,7,1,1,1,2,30,,L,101,118
10/13/2015,DEN,L 103-114,26,5,13,1,8,3,5,1,7,0,1,4,4,14,,L,103,114
10/15/2015,HOU,W 123-101,17,6,7,1,1,6,6,1,6,0,1,1,0,19,,W,123,101
10/17/2015,LAL,L 70-85,22,7,13,5,10,0,0,3,4,0,0,0,3,19,,L,70,85
10/22/2015,LAL,W 136-97,29,9,14,4,8,2,2,4,10,0,4,4,5,24,,W,136,97
10/27/2015,NO,W 111-95,36,14,26,5,12,7,7,6,7,0,2,1,2,40,REGULAR SEASON STATS,W,111,95
10/30/2015,HOU,W 112-92,27,9,15,4,9,3,4,7,6,0,1,4,1,25,REGULAR SEASON STATS,W,112,92
10/31/2015,NO,W 134-120,36,17,27,8,14,11,11,4,9,0,4,3,2,53,REGULAR SEASON STATS,W,134,120
11/2/2015,MEM,W 119-69,28,10,16,4,8,6,6,3,3,1,3,2,3,30,REGULAR SEASON STATS,W,119,69
11/4/2015,LAC,W 112-108,33,8,17,7,11,8,9,5,4,0,1,3,0,31,REGULAR SEASON STATS,W,112,108
11/6/2015,DEN,W 119-104,35,12,22,8,16,2,3,7,10,1,3,1,4,34,REGULAR SEASON STATS,W,119,104
11/7/2015,SAC,W 103-94,39,8,18,2,10,6,7,6,3,0,2,1,6,24,REGULAR SEASON STATS,W,103,94
11/9/2015,DET,W 109-95,37,7,18,3,7,5,6,5,5,0,3,1,5,22,REGULAR SEASON STATS,W,109,95
11/11/2015,MEM,W 100-84,35,9,21,3,10,7,7,5,5,1,5,1,4,28,REGULAR SEASON STATS,W,100,84
11/12/2015,MIN,W 129-116,38,15,25,8,13,8,8,5,4,0,2,3,3,46,REGULAR SEASON STATS,W,129,116
11/14/2015,BKN,W 107-99,44,13,31,5,16,3,3,3,6,0,1,1,4,34,REGULAR SEASON STATS,W,107,99
11/17/2015,TOR,W 115-110,40,13,23,5,10,6,7,2,9,0,2,1,7,37,REGULAR SEASON STATS,W,115,110
11/19/2015,LAC,W 124-117,37,11,22,6,14,12,12,11,4,0,3,2,7,40,REGULAR SEASON STATS,W,124,117
11/20/2015,CHI,W 106-94,36,9,20,3,11,6,6,5,4,0,4,2,6,27,REGULAR SEASON STATS,W,106,94
11/22/2015,DEN,W 118-105,28,8,16,3,8,0,0,4,7,0,3,0,4,19,REGULAR SEASON STATS,W,118,105
11/24/2015,LAL,W 111-77,30,10,21,4,12,0,0,4,9,0,2,1,0,24,REGULAR SEASON STATS,W,111,77
11/27/2015,PHX,W 135-116,31,11,20,9,16,10,11,6,8,0,2,2,6,41,REGULAR SEASON STATS,W,135,116
11/28/2015,SAC,W 120-101,30,4,7,3,6,8,8,4,6,0,3,1,1,19,REGULAR SEASON STATS,W,120,101
11/30/2015,UTAH,W 106-103,37,9,20,4,8,4,4,6,5,0,2,2,2,26,REGULAR SEASON STATS,W,106,103
12/2/2015,CHA,W 116-99,31,14,18,8,11,4,4,3,5,0,0,2,5,40,REGULAR SEASON STATS,W,116,99
12/5/2015,TOR,W 112-109,38,14,24,9,15,7,9,2,7,0,0,4,3,44,REGULAR SEASON STATS,W,112,109
12/6/2015,BKN,W 114-98,32,11,17,5,9,1,4,5,2,0,1,2,4,28,REGULAR SEASON STATS,W,114,98
12/8/2015,IND,W 131-123,36,11,23,3,10,4,6,7,10,0,3,1,4,29,REGULAR SEASON STATS,W,131,123
12/11/2015,BOS,W 124-119,47,9,27,6,13,14,14,11,8,0,2,4,8,38,REGULAR SEASON STATS,W,124,119
12/12/2015,MIL,L 95-108,35,10,22,2,9,6,7,7,5,0,1,2,2,28,REGULAR SEASON STATS,L,95,108
12/16/2015,PHX,W 128-103,30,10,14,2,5,3,5,2,7,0,1,4,3,25,REGULAR SEASON STATS,W,128,103
12/18/2015,MIL,W 121-112,39,7,14,2,6,10,11,10,9,0,2,2,6,26,REGULAR SEASON STATS,W,121,112
12/23/2015,UTAH,W 103-85,34,5,14,2,8,4,4,5,9,0,3,2,3,16,REGULAR SEASON STATS,W,103,85
12/25/2015,CLE,W 89-83,37,6,15,1,4,6,6,7,7,0,2,3,3,19,REGULAR SEASON STATS,W,89,83
12/28/2015,SAC,W 122-103,30,7,16,6,13,3,4,14,10,0,2,3,2,23,REGULAR SEASON STATS,W,122,103
12/30/2015,DAL,L 91-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,91,114
12/31/2015,HOU,W 114-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,114,110
1/2/2016,DEN,W 111-108,14,2,6,1,5,0,0,1,4,0,2,1,2,5,REGULAR SEASON STATS,W,111,108
1/4/2016,CHA,W 111-101,32,12,21,5,10,1,1,3,4,0,2,4,2,30,REGULAR SEASON STATS,W,111,101
1/5/2016,LAL,W 109-88,26,6,13,4,8,1,1,1,6,0,3,2,3,17,REGULAR SEASON STATS,W,109,88
1/8/2016,POR,W 128-108,29,8,18,4,11,6,6,3,9,0,1,2,1,26,REGULAR SEASON STATS,W,128,108
1/9/2016,SAC,W 128-116,38,12,21,8,14,6,7,6,11,1,1,3,4,38,REGULAR SEASON STATS,W,128,116
1/11/2016,MIA,W 111-103,38,11,27,4,11,5,6,2,6,0,1,2,1,31,REGULAR SEASON STATS,W,111,103
1/13/2016,DEN,L 110-112,40,13,25,5,12,7,7,5,9,1,3,1,8,38,REGULAR SEASON STATS,L,110,112
1/14/2016,LAL,W 116-98,30,9,18,8,16,0,0,6,3,0,1,3,3,26,REGULAR SEASON STATS,W,116,98
1/16/2016,DET,L 95-113,37,13,26,7,15,5,6,7,5,0,2,1,2,38,REGULAR SEASON STATS,L,95,113
1/18/2016,CLE,W 132-98,28,12,18,7,12,4,4,5,4,0,3,3,1,35,REGULAR SEASON STATS,W,132,98
1/20/2016,CHI,W 125-94,34,8,18,3,9,6,6,7,11,1,2,2,2,25,REGULAR SEASON STATS,W,125,94
1/22/2016,IND,W 122-110,37,11,19,8,15,9,9,10,12,0,1,1,2,39,REGULAR SEASON STATS,W,122,110
1/25/2016,SA,W 120-90,28,12,20,6,9,7,7,2,3,0,5,0,1,37,REGULAR SEASON STATS,W,120,90
1/27/2016,DAL,W 127-107,32,4,11,3,7,3,3,2,9,1,3,2,0,14,REGULAR SEASON STATS,W,127,107
1/30/2016,PHI,W 108-105,34,9,19,5,11,0,0,5,6,2,1,3,8,23,REGULAR SEASON STATS,W,108,105
1/31/2016,NY,W 116-95,32,5,17,3,11,0,0,4,4,0,3,1,3,13,REGULAR SEASON STATS,W,116,95
2/3/2016,WSH,W 134-121,36,19,28,11,15,2,3,7,2,0,3,3,7,51,REGULAR SEASON STATS,W,134,121
2/6/2016,OKC,W 116-108,38,10,26,1,9,5,5,6,10,0,3,2,3,26,REGULAR SEASON STATS,W,116,108
2/9/2016,HOU,W 123-110,38,12,24,7,16,4,4,5,9,0,1,2,1,35,REGULAR SEASON STATS,W,123,110
2/10/2016,PHX,W 112-104,30,9,17,5,10,3,4,9,9,1,1,1,2,26,REGULAR SEASON STATS,W,112,104
2/14/2016,EAST,W 196-173,29,10,18,6,13,0,0,5,6,0,4,1,2,26,REGULAR SEASON STATS,W,196,173
2/19/2016,POR,L 105-137,26,12,23,7,13,0,0,3,5,0,2,4,3,31,REGULAR SEASON STATS,L,105,137
2/20/2016,LAC,W 115-112,36,5,15,3,8,10,12,3,9,0,3,2,3,23,REGULAR SEASON STATS,W,115,112
2/22/2016,ATL,W 102-92,36,14,22,5,11,3,3,6,8,0,3,2,2,36,REGULAR SEASON STATS,W,102,92
2/24/2016,MIA,W 118-112,36,14,29,6,12,8,8,7,7,1,1,0,7,42,REGULAR SEASON STATS,W,118,112
2/25/2016,ORL,W 130-114,34,20,27,10,15,1,1,7,8,1,0,1,5,51,REGULAR SEASON STATS,W,130,114
2/27/2016,OKC,W 121-118,38,14,24,12,16,6,8,3,6,0,2,1,3,46,REGULAR SEASON STATS,W,121,118
3/1/2016,ATL,W 109-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,109,105
3/3/2016,OKC,W 121-106,37,12,25,5,15,4,5,4,4,1,1,2,1,33,REGULAR SEASON STATS,W,121,106
3/6/2016,LAL,L 95-112,34,6,20,1,10,5,5,6,4,0,1,2,4,18,REGULAR SEASON STATS,L,95,112
3/7/2016,ORL,W 119-113,37,14,24,7,13,6,6,13,3,0,4,3,5,41,REGULAR SEASON STATS,W,119,113
3/9/2016,UTAH,W 115-94,32,4,12,3,9,1,2,3,10,0,3,2,3,12,REGULAR SEASON STATS,W,115,94
3/11/2016,POR,W 128-112,29,13,23,7,14,1,2,3,4,0,2,2,3,34,REGULAR SEASON STATS,W,128,112
3/12/2016,PHX,W 123-116,35,12,24,7,16,4,4,3,6,0,0,4,1,35,REGULAR SEASON STATS,W,123,116
3/14/2016,NO,W 125-107,31,10,16,4,9,3,4,5,5,0,2,1,1,27,REGULAR SEASON STATS,W,125,107
3/16/2016,NY,W 121-85,28,12,20,8,13,2,2,6,4,0,0,2,2,34,REGULAR SEASON STATS,W,121,85
3/18/2016,DAL,W 130-112,34,12,26,6,12,1,1,9,10,0,2,2,1,31,REGULAR SEASON STATS,W,130,112
3/19/2016,SA,L 79-87,38,4,18,1,12,5,5,6,6,0,2,0,2,14,REGULAR SEASON STATS,L,79,87
3/21/2016,MIN,W 109-104,35,6,17,2,9,5,6,7,11,1,3,4,5,19,REGULAR SEASON STATS,W,109,104
3/23/2016,LAC,W 114-98,37,12,23,4,10,5,6,4,5,0,3,3,1,33,REGULAR SEASON STATS,W,114,98
3/25/2016,DAL,W 128-120,35,9,18,5,12,10,11,8,8,0,4,0,3,33,REGULAR SEASON STATS,W,128,120
3/27/2016,PHI,W 117-105,33,7,16,2,9,4,5,3,8,0,4,0,4,20,REGULAR SEASON STATS,W,117,105
3/29/2016,WSH,W 102-94,35,9,20,6,8,2,2,7,7,0,5,3,5,26,REGULAR SEASON STATS,W,102,94
3/30/2016,UTAH,W 103-96,42,11,23,5,10,4,5,7,4,0,2,4,5,31,REGULAR SEASON STATS,W,103,96
4/1/2016,BOS,L 106-109,37,9,19,8,14,3,3,5,6,0,1,2,9,29,REGULAR SEASON STATS,L,106,109
4/3/2016,POR,W 136-111,35,13,21,9,13,4,4,6,7,1,2,2,4,39,REGULAR SEASON STATS,W,136,111
4/5/2016,MIN,L 117-124,43,7,25,4,14,3,3,6,15,0,3,4,3,21,REGULAR SEASON STATS,L,117,124
4/7/2016,SA,W 112-101,36,11,19,3,7,2,2,5,9,0,2,2,3,27,REGULAR SEASON STATS,W,112,101
4/9/2016,MEM,W 100-99,34,7,22,3,14,0,0,9,8,0,1,1,2,17,REGULAR SEASON STATS,W,100,99
4/10/2016,SA,W 92-86,35,13,22,4,9,7,7,5,5,0,2,4,4,37,REGULAR SEASON STATS,W,92,86
4/13/2016,MEM,W 125-104,30,15,24,10,19,6,6,4,6,0,2,2,2,46,REGULAR SEASON STATS,W,125,104
